15:50:18 [INFO] Discovering files in output/extracted_chm...
15:52:10 [INFO] [ 39.9%] (16200/40625) IScenarioIntegrationIMG2_MaximumStepSize.html
15:52:11 [INFO] [ 40.1%] (16300/40625) IScopeAngle_AddDataToPlot2.html
15:52:11 [INFO] [ 40.4%] (16400/40625) ISensorDisplacement_Depth.html
15:52:12 [INFO] [ 40.6%] (16500/40625) ISensorPatchOption_UseMaxFacetSizeFactor.html
15:52:12 [INFO] [ 40.9%] (16600/40625) IShellOffsetFaceInfo_OffsetFaceCollection.html
15:52:13 [INFO] [ 41.1%] (16700/40625) ISubSystem_CreateBodyCone.html
15:52:14 [INFO] [ 41.4%] (16800/40625) ISubSystem_CreateForceRotationalSpringWithJoint.html
15:52:14 [INFO] [ 41.6%] (16900/40625) ISubSystem_ExportParametricPoint.html
15:52:15 [INFO] [ 41.8%] (17000/40625) ITireOutputChannel_LongitudinalAxis.html
15:52:15 [INFO] [ 42.1%] (17100/40625) ITranslatorImportOptions_UseTranslateFreeCurveForACIS.html
15:52:16 [INFO] [ 42.3%] (17200/40625) IWorkingPlane_GridWidth2.html
15:52:16 [INFO] [ 42.6%] (17300/40625) VariableEquationType.html
15:52:17 [INFO] [ 42.8%] (17400/40625) IR2R2DContact_Comment.html
15:52:17 [INFO] [ 43.1%] (17500/40625) IR2R2DGeometryRollerCircle_OwnerSubSystem.html
15:52:18 [INFO] [ 43.3%] (17600/40625) IR2R2DGuideLinear.html
15:52:19 [INFO] [ 43.6%] (17700/40625) R2R2DExample_R2R2DBodyRollerCircle.html
15:52:19 [INFO] [ 43.8%] (17800/40625) IRFlexBody_Mass.html
15:52:20 [INFO] [ 44.1%] (17900/40625) IRFlexForceModalForce_OwnerSubSystem.html
15:52:20 [INFO] [ 44.3%] (18000/40625) IRFlexLineSet_Color.html
15:52:21 [INFO] [ 44.6%] (18100/40625) IRFlexNodeSet_Comment.html
15:52:21 [INFO] [ 44.8%] (18200/40625) IRFlexRequest_Name.html
15:52:22 [INFO] [ 45.0%] (18300/40625) RFlexExample_IRFlexForceCollection.html
15:52:23 [INFO] [ 45.3%] (18400/40625) ITireGroup_UpdateActiveFlagOfAllEntities.html
15:52:23 [INFO] [ 45.5%] (18500/40625) TireExample_ITireToolkit_CreateTireGroupGenericGround.html
15:52:24 [INFO] [ 45.8%] (18600/40625) IForceConnectorFixed_ActionMarker.html
15:52:24 [INFO] [ 46.0%] (18700/40625) ITrackHMAssembly_RemoveAllOutputLink.html
15:52:25 [INFO] [ 46.3%] (18800/40625) ITrackHMAssemblyContactGroundTrackLinkShoePad_UseDampingSpline.html
15:52:25 [INFO] [ 46.5%] (18900/40625) ITrackLMAssemblyBushingForceParameter_RotationPreloadX.html
15:52:26 [INFO] [ 46.8%] (19000/40625) ITrackLMBody.html
15:52:26 [INFO] [ 47.0%] (19100/40625) ITrackLMContactFriction_StaticFrictionCoefficient.html
15:52:27 [INFO] [ 47.3%] (19200/40625) ITrackLMGrouserToSphereContactProperty_DampingCoefficient.html
15:52:27 [INFO] [ 47.5%] (19300/40625) ITrackLMToothProfileSprocket_PointCollection.html
15:52:28 [INFO] [ 47.8%] (19400/40625) 0077a0f4-9c0f-bb1d-ba4c-d38dc3e334a6.htm
15:52:28 [INFO] [ 48.0%] (19500/40625) 01ab4716-1dea-40ad-e870-84112d6fe3fb.htm
15:52:29 [INFO] [ 48.2%] (19600/40625) 02aa313d-3088-2d75-f2cb-dc4333a5f77f.htm
15:52:29 [INFO] [ 48.5%] (19700/40625) 03ccef68-cb24-dea8-ca80-8e2885474b8a.htm
15:52:30 [INFO] [ 48.7%] (19800/40625) 05229a69-2a12-36dc-03b1-646403e4dbf4.htm
15:52:30 [INFO] [ 49.0%] (19900/40625) 0650315d-15ff-f8fd-f854-1443b65c0cc4.htm
15:52:31 [INFO] [ 49.2%] (20000/40625) 07a65c94-86dc-be7e-9a47-8f1ed9b83ad3.htm
15:52:31 [INFO] [ 49.5%] (20100/40625) 08dec114-658e-7f88-11cc-8bdcd9a6e51e.htm
15:52:32 [INFO] [ 49.7%] (20200/40625) 0a35c595-6985-a617-2451-2cb2d2751aaf.htm
15:52:32 [INFO] [ 50.0%] (20300/40625) 0b633535-7607-7b66-f2a9-1ca5245fdd23.htm
15:52:32 [INFO] [ 50.2%] (20400/40625) 0c669b7e-e1cb-f7b5-f459-4e268156c777.htm
15:52:36 [INFO] [ 50.5%] (20500/40625) 0dc3bf8a-add9-2423-93c2-a26c00cdf466.htm
15:52:37 [INFO] [ 50.7%] (20600/40625) 0eded425-0f35-e3d2-6cef-eba6d4bb7082.htm
15:52:37 [INFO] [ 51.0%] (20700/40625) 10312f22-5957-c8bb-293e-57b033dae448.htm
15:52:38 [INFO] [ 51.2%] (20800/40625) 1168f21e-067c-5b1f-cfc3-be543d0a8d9c.htm
15:52:38 [INFO] [ 51.4%] (20900/40625) 12ae64ca-9c02-ba89-bc2e-342e59544ba8.htm
15:52:39 [INFO] [ 51.7%] (21000/40625) 13e11755-46ef-c007-db83-1e617899c803.htm
15:52:39 [INFO] [ 51.9%] (21100/40625) 15244683-b9d8-f9f9-de62-0ab32e01f7a2.htm
15:52:40 [INFO] [ 52.2%] (21200/40625) 165a4cbe-87d8-464c-30cb-561707a3ca3a.htm
15:52:40 [INFO] [ 52.4%] (21300/40625) 179d14cb-99ed-191d-4e7a-8beb5cbb21f1.htm
15:52:41 [INFO] [ 52.7%] (21400/40625) 18b14966-95ed-7c41-4141-d8495f7b5cfd.htm
15:52:41 [INFO] [ 52.9%] (21500/40625) 19ea47e9-3103-de77-ad21-447796ead1f2.htm
15:52:42 [INFO] [ 53.2%] (21600/40625) 1b21c688-4c81-d94a-398e-3cdbd1a5b9c8.htm
15:52:42 [INFO] [ 53.4%] (21700/40625) 1c429fc7-3421-f659-810e-7aad28643efc.htm
15:52:43 [INFO] [ 53.7%] (21800/40625) 1d62c375-ad20-3a15-50ed-628b98ea921d.htm
15:52:43 [INFO] [ 53.9%] (21900/40625) 1ed5d94b-3029-28c3-411b-f1d5001ec331.htm
15:52:44 [INFO] [ 54.2%] (22000/40625) 20063cb1-b168-5e3a-16a2-820b14daa926.htm
15:52:44 [INFO] [ 54.4%] (22100/40625) 21745229-f52f-58e4-691f-7735ed32502a.htm
15:52:45 [INFO] [ 54.6%] (22200/40625) 22bfc732-6a76-930d-595e-a12e5a1d01f8.htm
15:52:45 [INFO] [ 54.9%] (22300/40625) 23fb9c50-909a-87dd-20e2-2272522187d2.htm
15:52:46 [INFO] [ 55.1%] (22400/40625) 25333365-5ba9-4ac4-5e32-7fc0dbdc84b8.htm
15:52:46 [INFO] [ 55.4%] (22500/40625) 26480dec-2bc3-8267-626d-a66c98cc35df.htm
15:52:46 [INFO] [ 55.6%] (22600/40625) 278f1ef5-f5b3-a00c-73df-086d54d41010.htm
15:52:47 [INFO] [ 55.9%] (22700/40625) 28ccdb19-4c85-c02e-8d74-c277d8037fe5.htm
